antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Medium'}),"frozenset({'Normal', 'normal'})",0.2334868212130835,0.36876786281359164,0.15274690377897746,0.6541992519551173,1.774013730382488,1.0,0.06664446772508947,1.8254215491300168,0.5692093978215159,0.33980925468032497,0.4521813328671434,0.5342040393252443
"frozenset({'Normal', 'http', 'tcp'})","frozenset({'Low', 'normal'})",0.21486979993648778,0.48170053985392186,0.18359002858050175,0.8544245335303898,1.7737670250265827,1.0,0.0800871299527914,3.5603489565618296,0.5556124363404812,0.3578890350537801,0.719128655027769,0.6177767496658954
"frozenset({'Normal', 'http'})","frozenset({'Low', 'normal'})",0.21486979993648778,0.48170053985392186,0.18359002858050175,0.8544245335303898,1.7737670250265827,1.0,0.0800871299527914,3.5603489565618296,0.5556124363404812,0.3578890350537801,0.719128655027769,0.6177767496658954
"frozenset({'Zero', 'Normal', 'http'})","frozenset({'Low', 'normal'})",0.21240870117497618,0.48170053985392186,0.1814464909495078,0.8542328536722109,1.7733691017478648,1.0,0.0791291049238514,3.5556671938995725,0.5537156138401584,0.353929539295393,0.7187588304901843,0.6154559406391545
"frozenset({'Zero', 'Normal', 'http', 'tcp'})","frozenset({'Low', 'normal'})",0.21240870117497618,0.48170053985392186,0.1814464909495078,0.8542328536722109,1.7733691017478648,1.0,0.0791291049238514,3.5556671938995725,0.5537156138401584,0.353929539295393,0.7187588304901843,0.6154559406391545
"frozenset({'High', 'http', 'SF', 'tcp'})",frozenset({'normal'}),0.12587329310892348,0.5338599555414417,0.11916481422673865,0.9467045096184168,1.7733199499075885,1.0,0.051966103563753904,8.746331840107013,0.49888187403695966,0.2204435306212366,0.8856663549610113,0.5849590657245181
"frozenset({'High', 'http', 'SF'})",frozenset({'normal'}),0.12587329310892348,0.5338599555414417,0.11916481422673865,0.9467045096184168,1.7733199499075885,1.0,0.051966103563753904,8.746331840107013,0.49888187403695966,0.2204435306212366,0.8856663549610113,0.5849590657245181
"frozenset({'Medium', 'SF'})","frozenset({'Normal', 'normal'})",0.22979517307081612,0.36876786281359164,0.15024610987615117,0.6538262221454483,1.7730021731203587,1.0,0.0655050350179469,1.8234545120619352,0.5660635763538997,0.3351336993093678,0.4515903778322307,0.5306267816862871
"frozenset({'Zero', 'High', 'SF', 'tcp'})","frozenset({'Low', 'normal'})",0.14103683709114004,0.48170053985392186,0.12043505874880915,0.853926259499015,1.7727326188132828,1.0,0.052497538182717365,3.548204204044349,0.507471281542826,0.23976608187134502,0.718167291820417,0.551973430532367
"frozenset({'Normal', 'Medium', 'tcp'})","frozenset({'Low', 'normal'})",0.16370276278183551,0.48170053985392186,0.13976659256906954,0.8537827352085353,1.772434665461345,1.0,0.06091088336148086,3.5447213493240883,0.5211117412264054,0.27641701994033596,0.7178903779867827,0.571967593397428
